area_code	areatype_code	area_name
0077350	M	Rochester-Dover, NH-ME	
0078100	M	Springfield, MA-CT	
0078254	M	Taunton-Norton-Raynham, MA NECTA Division	
0078700	M	Waterbury, CT	
0079600	M	Worcester, MA-CT	
0100000	S	Alabama	
0100001	M	Northwest Alabama nonmetropolitan area	
0100002	M	Northeast Alabama nonmetropolitan area	
0100003	M	Southwest Alabama nonmetropolitan area	
0100004	M	Southeast Alabama nonmetropolitan area	
0200000	S	Alaska	
0200001	M	Southeast Alaska nonmetropolitan area	
0200002	M	Railbelt / Southwest Alaska nonmetropolitan area	
0400000	S	Arizona	
0400001	M	North Arizona nonmetropolitan area	
0400002	M	Southeast Arizona nonmetropolitan area	
0500000	S	Arkansas	
0500001	M	Central Arkansas nonmetropolitan area	
0500002	M	East Arkansas nonmetropolitan area	
0500003	M	South Arkansas nonmetropolitan area	
0500004	M	West Arkansas nonmetropolitan area	
0600000	S	California	
0600001	M	Mother Lode Region of California nonmetropolitan area	
0600002	M	Eastern Sierra Region of California nonmetropolitan area	
0600003	M	North Coast Region of California nonmetropolitan area	
0600004	M	North Valley Region of California nonmetropolitan area	
0600005	M	Northern Mountains Region of California nonmetropolitan area	
0800000	S	Colorado	
0800001	M	East and South Colorado nonmetropolitan area	
0800002	M	West Colorado nonmetropolitan area	
0800003	M	Northcentral Colorado nonmetropolitan area	
0800004	M	Central Colorado nonmetropolitan area	
0900000	S	Connecticut	
0900001	M	Northwestern Connecticut nonmetropolitan area	
0900002	M	Eastern Connecticut nonmetropolitan area	
1000000	S	Delaware	
1000001	M	Sussex County, Delaware nonmetropolitan area	
1100000	S	District of Columbia	
1200000	S	Florida	
1200001	M	Northwest Florida nonmetropolitan area	
1200002	M	Northeast Florida nonmetropolitan area	
1200003	M	South Florida nonmetropolitan area	
1300000	S	Georgia	
1300001	M	North Georgia nonmetropolitan area	
1300002	M	Middle Georgia nonmetropolitan area	
1300003	M	East Georgia nonmetropolitan area	
1300004	M	South Georgia nonmetropolitan area	
1500000	S	Hawaii	
1500001	M	Hawaii / Maui / Kauai nonmetropolitan area	
1600000	S	Idaho	
1600001	M	North Idaho nonmetropolitan area	
1600002	M	Southwest Idaho nonmetropolitan area	
1600003	M	Southcentral Idaho nonmetropolitan area	
1600004	M	East Idaho nonmetropolitan area	
1700000	S	Illinois	
1700001	M	Northwest Illinois nonmetropolitan area	
1700002	M	West Central Illinois nonmetropolitan area	
1700003	M	East Central Illinois nonmetropolitan area	
1700004	M	South Illinois nonmetropolitan area	
1800000	S	Indiana	
1800001	M	Northern Indiana nonmetropolitan area	
1800002	M	Central Indiana nonmetropolitan area	
1800003	M	Southern Indiana nonmetropolitan area	
1900000	S	Iowa	
1900001	M	Northeast Iowa nonmetropolitan area	
1900002	M	Northwest Iowa nonmetropolitan area	
